Angle,PercentWeight
0.0,0.7999999999999998
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
1.3089969389957472,0.6399999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
1.3089969389957472,0.6399999999999999
1.3962634015954636,0.6299999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
1.3089969389957472,0.6399999999999999
1.3962634015954636,0.6299999999999999
1.4835298641951802,0.6199999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
1.3089969389957472,0.6399999999999999
1.3962634015954636,0.6299999999999999
1.4835298641951802,0.6199999999999999
1.5707963267948966,0.6199999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
1.3089969389957472,0.6399999999999999
1.3962634015954636,0.6299999999999999
1.4835298641951802,0.6199999999999999
1.5707963267948966,0.6199999999999999
1.6580627893946132,0.6199999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
1.3089969389957472,0.6399999999999999
1.3962634015954636,0.6299999999999999
1.4835298641951802,0.6199999999999999
1.5707963267948966,0.6199999999999999
1.6580627893946132,0.6199999999999999
1.7453292519943295,0.6299999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
1.3089969389957472,0.6399999999999999
1.3962634015954636,0.6299999999999999
1.4835298641951802,0.6199999999999999
1.5707963267948966,0.6199999999999999
1.6580627893946132,0.6199999999999999
1.7453292519943295,0.6299999999999999
1.8325957145940461,0.6399999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
1.3089969389957472,0.6399999999999999
1.3962634015954636,0.6299999999999999
1.4835298641951802,0.6199999999999999
1.5707963267948966,0.6199999999999999
1.6580627893946132,0.6199999999999999
1.7453292519943295,0.6299999999999999
1.8325957145940461,0.6399999999999999
1.9198621771937625,0.66
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
1.3089969389957472,0.6399999999999999
1.3962634015954636,0.6299999999999999
1.4835298641951802,0.6199999999999999
1.5707963267948966,0.6199999999999999
1.6580627893946132,0.6199999999999999
1.7453292519943295,0.6299999999999999
1.8325957145940461,0.6399999999999999
1.9198621771937625,0.66
2.007128639793479,0.68
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
1.3089969389957472,0.6399999999999999
1.3962634015954636,0.6299999999999999
1.4835298641951802,0.6199999999999999
1.5707963267948966,0.6199999999999999
1.6580627893946132,0.6199999999999999
1.7453292519943295,0.6299999999999999
1.8325957145940461,0.6399999999999999
1.9198621771937625,0.66
2.007128639793479,0.68
2.0943951023931953,0.7200000000000001
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
1.3089969389957472,0.6399999999999999
1.3962634015954636,0.6299999999999999
1.4835298641951802,0.6199999999999999
1.5707963267948966,0.6199999999999999
1.6580627893946132,0.6199999999999999
1.7453292519943295,0.6299999999999999
1.8325957145940461,0.6399999999999999
1.9198621771937625,0.66
2.007128639793479,0.68
2.0943951023931953,0.7200000000000001
2.1816615649929116,0.7599999999999999
Angle,PercentWeight
0.0,0.7999999999999998
0.08726646259971647,0.8299999999999998
0.17453292519943295,0.7999999999999998
0.2617993877991494,0.8199999999999998
0.3490658503988659,0.87
0.4363323129985824,0.92
0.5235987755982988,0.98
0.6108652381980153,0.98
0.6981317007977318,0.8999999999999999
0.7853981633974483,0.7499999999999999
0.8726646259971648,0.7000000000000001
0.9599310885968813,0.67
1.0471975511965976,0.6499999999999999
1.1344640137963142,0.6399999999999999
1.2217304763960306,0.6499999999999999
1.3089969389957472,0.6399999999999999
1.3962634015954636,0.6299999999999999
