Angle,PercentWeight
0.0,0.91
Angle,PercentWeight
0.0,0.91
0.5235987755982988,1.05
Angle,PercentWeight
0.0,0.91
0.5235987755982988,1.05
1.0471975511965976,0.68
Angle,PercentWeight
0.0,0.91
0.5235987755982988,1.05
1.0471975511965976,0.68
1.5707963267948966,0.6199999999999999
Angle,PercentWeight
0.0,0.91
0.5235987755982988,1.05
1.0471975511965976,0.68
1.5707963267948966,0.6199999999999999
2.0943951023931953,0.7200000000000001
Angle,PercentWeight
0.0,0.91
0.5235987755982988,1.05
1.0471975511965976,0.68
1.5707963267948966,0.6199999999999999
2.0943951023931953,0.7200000000000001
2.6179938779914944,1.1800000000000002
Angle,PercentWeight
0.0,0.91
0.5235987755982988,1.05
1.0471975511965976,0.68
1.5707963267948966,0.6199999999999999
2.0943951023931953,0.7200000000000001
2.6179938779914944,1.1800000000000002
3.141592653589793,1.44
Angle,PercentWeight
0.0,0.91
0.5235987755982988,1.05
1.0471975511965976,0.68
1.5707963267948966,0.6199999999999999
2.0943951023931953,0.7200000000000001
2.6179938779914944,1.1800000000000002
3.141592653589793,1.44
3.6651914291880923,1.07
Angle,PercentWeight
0.0,0.91
0.5235987755982988,1.05
1.0471975511965976,0.68
1.5707963267948966,0.6199999999999999
2.0943951023931953,0.7200000000000001
2.6179938779914944,1.1800000000000002
3.141592653589793,1.44
3.6651914291880923,1.07
4.1887902047863905,0.6299999999999999
Angle,PercentWeight
0.0,0.91
0.5235987755982988,1.05
1.0471975511965976,0.68
1.5707963267948966,0.6199999999999999
2.0943951023931953,0.7200000000000001
2.6179938779914944,1.1800000000000002
3.141592653589793,1.44
3.6651914291880923,1.07
4.1887902047863905,0.6299999999999999
4.71238898038469,0.5499999999999999
Angle,PercentWeight
0.0,0.91
0.5235987755982988,1.05
1.0471975511965976,0.68
1.5707963267948966,0.6199999999999999
2.0943951023931953,0.7200000000000001
2.6179938779914944,1.1800000000000002
3.141592653589793,1.44
3.6651914291880923,1.07
4.1887902047863905,0.6299999999999999
4.71238898038469,0.5499999999999999
5.235987755982989,0.6299999999999999
Angle,PercentWeight
0.0,0.91
0.5235987755982988,1.05
1.0471975511965976,0.68
1.5707963267948966,0.6199999999999999
2.0943951023931953,0.7200000000000001
2.6179938779914944,1.1800000000000002
3.141592653589793,1.44
3.6651914291880923,1.07
4.1887902047863905,0.6299999999999999
4.71238898038469,0.5499999999999999
5.235987755982989,0.6299999999999999
5.759586531581287,0.77
