Angle,PercentWeight
0.0,0.88
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
1.0471975511965976,1.7699999999999998
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
1.0471975511965976,1.7699999999999998
1.2217304763960306,1.7199999999999998
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
1.0471975511965976,1.7699999999999998
1.2217304763960306,1.7199999999999998
1.3962634015954636,1.63
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
1.0471975511965976,1.7699999999999998
1.2217304763960306,1.7199999999999998
1.3962634015954636,1.63
1.5707963267948966,1.5999999999999999
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
1.0471975511965976,1.7699999999999998
1.2217304763960306,1.7199999999999998
1.3962634015954636,1.63
1.5707963267948966,1.5999999999999999
1.7453292519943295,1.63
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
1.0471975511965976,1.7699999999999998
1.2217304763960306,1.7199999999999998
1.3962634015954636,1.63
1.5707963267948966,1.5999999999999999
1.7453292519943295,1.63
1.9198621771937625,1.7399999999999998
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
1.0471975511965976,1.7699999999999998
1.2217304763960306,1.7199999999999998
1.3962634015954636,1.63
1.5707963267948966,1.5999999999999999
1.7453292519943295,1.63
1.9198621771937625,1.7399999999999998
2.0943951023931953,1.8099999999999998
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
1.0471975511965976,1.7699999999999998
1.2217304763960306,1.7199999999999998
1.3962634015954636,1.63
1.5707963267948966,1.5999999999999999
1.7453292519943295,1.63
1.9198621771937625,1.7399999999999998
2.0943951023931953,1.8099999999999998
2.2689280275926285,1.39
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
1.0471975511965976,1.7699999999999998
1.2217304763960306,1.7199999999999998
1.3962634015954636,1.63
1.5707963267948966,1.5999999999999999
1.7453292519943295,1.63
1.9198621771937625,1.7399999999999998
2.0943951023931953,1.8099999999999998
2.2689280275926285,1.39
2.443460952792061,1.1600000000000001
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
1.0471975511965976,1.7699999999999998
1.2217304763960306,1.7199999999999998
1.3962634015954636,1.63
1.5707963267948966,1.5999999999999999
1.7453292519943295,1.63
1.9198621771937625,1.7399999999999998
2.0943951023931953,1.8099999999999998
2.2689280275926285,1.39
2.443460952792061,1.1600000000000001
2.6179938779914944,1.03
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
1.0471975511965976,1.7699999999999998
1.2217304763960306,1.7199999999999998
1.3962634015954636,1.63
1.5707963267948966,1.5999999999999999
1.7453292519943295,1.63
1.9198621771937625,1.7399999999999998
2.0943951023931953,1.8099999999999998
2.2689280275926285,1.39
2.443460952792061,1.1600000000000001
2.6179938779914944,1.03
2.792526803190927,0.9400000000000001
Angle,PercentWeight
0.0,0.88
0.17453292519943295,0.89
0.3490658503988659,0.9400000000000001
0.5235987755982988,1.02
0.6981317007977318,1.1500000000000001
0.8726646259971648,1.39
1.0471975511965976,1.7699999999999998
1.2217304763960306,1.7199999999999998
1.3962634015954636,1.63
1.5707963267948966,1.5999999999999999
1.7453292519943295,1.63
1.9198621771937625,1.7399999999999998
2.0943951023931953,1.8099999999999998
2.2689280275926285,1.39
2.443460952792061,1.1600000000000001
2.6179938779914944,1.03
2.792526803190927,0.9400000000000001
2.9670597283903604,0.9
