Angle,PercentWeight
0.0,0.8199999999999998
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
0.5235987755982988,0.97
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
0.5235987755982988,0.97
0.6108652381980153,1.05
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
0.5235987755982988,0.97
0.6108652381980153,1.05
0.6981317007977318,1.12
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
0.5235987755982988,0.97
0.6108652381980153,1.05
0.6981317007977318,1.12
0.7853981633974483,1.06
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
0.5235987755982988,0.97
0.6108652381980153,1.05
0.6981317007977318,1.12
0.7853981633974483,1.06
0.8726646259971648,0.94
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
0.5235987755982988,0.97
0.6108652381980153,1.05
0.6981317007977318,1.12
0.7853981633974483,1.06
0.8726646259971648,0.94
0.9599310885968813,0.8900000000000001
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
0.5235987755982988,0.97
0.6108652381980153,1.05
0.6981317007977318,1.12
0.7853981633974483,1.06
0.8726646259971648,0.94
0.9599310885968813,0.8900000000000001
1.0471975511965976,0.8600000000000001
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
0.5235987755982988,0.97
0.6108652381980153,1.05
0.6981317007977318,1.12
0.7853981633974483,1.06
0.8726646259971648,0.94
0.9599310885968813,0.8900000000000001
1.0471975511965976,0.8600000000000001
1.1344640137963142,0.8099999999999999
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
0.5235987755982988,0.97
0.6108652381980153,1.05
0.6981317007977318,1.12
0.7853981633974483,1.06
0.8726646259971648,0.94
0.9599310885968813,0.8900000000000001
1.0471975511965976,0.8600000000000001
1.1344640137963142,0.8099999999999999
1.2217304763960306,0.7599999999999999
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
0.5235987755982988,0.97
0.6108652381980153,1.05
0.6981317007977318,1.12
0.7853981633974483,1.06
0.8726646259971648,0.94
0.9599310885968813,0.8900000000000001
1.0471975511965976,0.8600000000000001
1.1344640137963142,0.8099999999999999
1.2217304763960306,0.7599999999999999
1.3089969389957472,0.7200000000000001
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
0.5235987755982988,0.97
0.6108652381980153,1.05
0.6981317007977318,1.12
0.7853981633974483,1.06
0.8726646259971648,0.94
0.9599310885968813,0.8900000000000001
1.0471975511965976,0.8600000000000001
1.1344640137963142,0.8099999999999999
1.2217304763960306,0.7599999999999999
1.3089969389957472,0.7200000000000001
1.3962634015954636,0.7000000000000001
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
0.3490658503988659,0.89
0.4363323129985824,0.87
0.5235987755982988,0.97
0.6108652381980153,1.05
0.6981317007977318,1.12
0.7853981633974483,1.06
0.8726646259971648,0.94
0.9599310885968813,0.8900000000000001
1.0471975511965976,0.8600000000000001
1.1344640137963142,0.8099999999999999
1.2217304763960306,0.7599999999999999
1.3089969389957472,0.7200000000000001
1.3962634015954636,0.7000000000000001
1.4835298641951802,0.6900000000000001
Angle,PercentWeight
0.0,0.8199999999999998
0.08726646259971647,0.7999999999999998
0.17453292519943295,0.8199999999999998
0.2617993877991494,0.86
