Angle,PercentWeight
0.0,0.9400000000000001
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
1.0471975511965976,1.9399999999999997
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
1.0471975511965976,1.9399999999999997
1.2217304763960306,1.7799999999999998
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
1.0471975511965976,1.9399999999999997
1.2217304763960306,1.7799999999999998
1.3962634015954636,1.6899999999999997
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
1.0471975511965976,1.9399999999999997
1.2217304763960306,1.7799999999999998
1.3962634015954636,1.6899999999999997
1.5707963267948966,1.6799999999999997
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
1.0471975511965976,1.9399999999999997
1.2217304763960306,1.7799999999999998
1.3962634015954636,1.6899999999999997
1.5707963267948966,1.6799999999999997
1.7453292519943295,1.7199999999999998
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
1.0471975511965976,1.9399999999999997
1.2217304763960306,1.7799999999999998
1.3962634015954636,1.6899999999999997
1.5707963267948966,1.6799999999999997
1.7453292519943295,1.7199999999999998
1.9198621771937625,1.8299999999999998
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
1.0471975511965976,1.9399999999999997
1.2217304763960306,1.7799999999999998
1.3962634015954636,1.6899999999999997
1.5707963267948966,1.6799999999999997
1.7453292519943295,1.7199999999999998
1.9198621771937625,1.8299999999999998
2.0943951023931953,1.8199999999999998
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
1.0471975511965976,1.9399999999999997
1.2217304763960306,1.7799999999999998
1.3962634015954636,1.6899999999999997
1.5707963267948966,1.6799999999999997
1.7453292519943295,1.7199999999999998
1.9198621771937625,1.8299999999999998
2.0943951023931953,1.8199999999999998
2.2689280275926285,1.41
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
1.0471975511965976,1.9399999999999997
1.2217304763960306,1.7799999999999998
1.3962634015954636,1.6899999999999997
1.5707963267948966,1.6799999999999997
1.7453292519943295,1.7199999999999998
1.9198621771937625,1.8299999999999998
2.0943951023931953,1.8199999999999998
2.2689280275926285,1.41
2.443460952792061,1.1700000000000002
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
1.0471975511965976,1.9399999999999997
1.2217304763960306,1.7799999999999998
1.3962634015954636,1.6899999999999997
1.5707963267948966,1.6799999999999997
1.7453292519943295,1.7199999999999998
1.9198621771937625,1.8299999999999998
2.0943951023931953,1.8199999999999998
2.2689280275926285,1.41
2.443460952792061,1.1700000000000002
2.6179938779914944,1.04
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
1.0471975511965976,1.9399999999999997
1.2217304763960306,1.7799999999999998
1.3962634015954636,1.6899999999999997
1.5707963267948966,1.6799999999999997
1.7453292519943295,1.7199999999999998
1.9198621771937625,1.8299999999999998
2.0943951023931953,1.8199999999999998
2.2689280275926285,1.41
2.443460952792061,1.1700000000000002
2.6179938779914944,1.04
2.792526803190927,0.9500000000000001
Angle,PercentWeight
0.0,0.9400000000000001
0.17453292519943295,0.96
0.3490658503988659,1.0
0.5235987755982988,1.09
0.6981317007977318,1.23
0.8726646259971648,1.52
1.0471975511965976,1.9399999999999997
1.2217304763960306,1.7799999999999998
1.3962634015954636,1.6899999999999997
1.5707963267948966,1.6799999999999997
1.7453292519943295,1.7199999999999998
1.9198621771937625,1.8299999999999998
2.0943951023931953,1.8199999999999998
2.2689280275926285,1.41
2.443460952792061,1.1700000000000002
2.6179938779914944,1.04
2.792526803190927,0.9500000000000001
2.9670597283903604,0.91
